id,conversation_id,created_at,date,time,timezone,user_id,username,name,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,content_Link,retweet,quote_url,video,thumbnail,content
1.54e+18,1.54e+18,2022-06-21 13:37:20 Pakistan Standard Time,6/21/2022,13:37:20,500,3125398481.0,bnmovement_,BNM,en,[],[],['https://pbs.twimg.com/media/FVw1x6LVUAAkJdE.jpg'],0,5,5,[],https://twitter.com/BNMovement_/status/1539165560457469952,False,,1,https://pbs.twimg.com/media/FVw1x6LVUAAkJdE.jpg,BNM Netherland is going to organize a protest on 26th June 2022 in reference to the International Day in Support of Victims of Torture and International Day Against Drug Abuse and Illicit Trafficking.  Date : 26/06/2022 Time : 13:00 - 14:00  Place :  Dam Square  City :  Amsterdam  https://t.co/hdHO7BTFtU
1.54e+18,1.54e+18,2022-06-18 15:51:34 Pakistan Standard Time,6/18/2022,15:51:34,500,1.53e+18,aashob_media_,Aashob Media,en,[],[],['https://pbs.twimg.com/media/FVh41QrWAAEuV5x.jpg'],4,30,116,"['aashob', 'blf', 'balochistan']",https://twitter.com/Aashob_Media_/status/1538112177915187200,False,,1,https://pbs.twimg.com/media/FVh41QrWAAEuV5x.jpg,One of the sharpshooters of the Balochistan Liberation Front somewhere in the mountains of Balochistan.                                         #Aashob                                                   #BLF                                                       #Balochistan  https://t.co/S60gE0JpCo
1.54e+18,1.54e+18,2022-06-16 21:56:22 Pakistan Standard Time,6/16/2022,21:56:22,500,1.53e+18,aashob_media_,Aashob Media,en,"[{'screen_name': 'iallahnizar', 'name': 'allah nizar baloch', 'id': '1521760305067569152'}]",[],['https://pbs.twimg.com/media/FVY4c2bWYAIxDON.jpg'],2,24,96,"['aashob', 'blf']",https://twitter.com/Aashob_Media_/status/1537479207701315584,False,,1,https://pbs.twimg.com/media/FVY4c2bWYAIxDON.jpg,"""I believe in humanism but not at the cost of slavery and subjugation"".  @iAllahNizar   #Aashob #BLF  https://t.co/bk9WDKe4r7"
1.54e+18,1.54e+18,2022-06-14 20:13:35 Pakistan Standard Time,6/14/2022,20:13:35,500,1.53e+18,aashob_media_,Aashob Media,en,[],['https://t.me/aashob_blf_official'],['https://pbs.twimg.com/media/FVOOHBxWAAQPsMw.jpg'],2,16,72,"['blf', 'aashob']",https://twitter.com/Aashob_Media_/status/1536728563033985027,False,,1,https://pbs.twimg.com/media/FVOOHBxWAAQPsMw.jpg,"Two enemy personnel were killed in an attack on a shopkeeper, Major Graham Baloch, spokesman for BLF Balochistan Liberation Front, said that the militants had shot Pakistani army at Shapak at 8:30 pm last night in Shapak area of Keech district. Attack with rockets and heavy weapons at the post. https://t.co/ep9cbne5c5 "
1.54e+18,1.54e+18,2022-06-14 20:06:09 Pakistan Standard Time,6/14/2022,20:06:09,500,1.53e+18,aashob_media_,Aashob Media,ur,[],[],['https://pbs.twimg.com/media/FVOMWWQWIAAvlTN.jpg'],0,4,12,[],https://twitter.com/Aashob_Media_/status/1536726695985696769,False,,1,https://pbs.twimg.com/media/FVOMWWQWIAAvlTN.jpg,"Two enemy personnel were killed in an attack on a shopkeeper, Major Graham Baloch, spokesman for BLF Balochistan Liberation Front, said that the militants had shot Pakistani army at Shapak at 8:30 pm last night in Shapak area of Keech district. Attack with rockets and heavy weapons at the post. https://t.co/ep9cbne5c5 "
1.54e+18,1.54e+18,2022-06-14 20:03:30 Pakistan Standard Time,6/14/2022,20:03:30,500,1.53e+18,aashob_media_,Aashob Media,ur,[],[],['https://pbs.twimg.com/media/FVOL8xsWIAI4Yzc.jpg'],1,4,11,[],https://twitter.com/Aashob_Media_/status/1536726026016931842,False,,1,https://pbs.twimg.com/media/FVOL8xsWIAI4Yzc.jpg,"Two enemy personnel were killed in an attack on a shopkeeper, Major Graham Baloch, spokesman for BLF Balochistan Liberation Front, said that the militants had shot Pakistani army at Shapak at 8:30 pm last night in Shapak area of Keech district. Attack with rockets and heavy weapons at the post. https://t.co/ep9cbne5c5 "
1.54e+18,1.54e+18,2022-06-14 13:46:17 Pakistan Standard Time,6/14/2022,13:46:17,500,1.53e+18,aashob_media_,Aashob Media,ur,[],[],['https://pbs.twimg.com/media/FVM1fTtXEAAEZj6.jpg'],0,4,8,[],https://twitter.com/Aashob_Media_/status/1536631097676775424,False,,1,https://pbs.twimg.com/media/FVM1fTtXEAAEZj6.jpg,"The Pakistani army and the Sniper Arsh and the Sniper Arsh and the Kinak, the tight and the tattoos. BLP BL app and Jarkakshi Major Gohram Baloch and Goshtag that Gustin Roach Doshabbe and Sutt Evening and Hapat and Gul and Parks, the Iranian semers and cowards, Balochistan and Balochistan. https://t.co/bjvs7sziqe "
1.54e+18,1.54e+18,2022-06-14 13:44:01 Pakistan Standard Time,6/14/2022,13:44:01,500,1.53e+18,aashob_media_,Aashob Media,ur,[],[],['https://pbs.twimg.com/media/FVM01l3XwAAcXIx.jpg'],1,4,8,[],https://twitter.com/Aashob_Media_/status/1536630528262160387,False,,1,https://pbs.twimg.com/media/FVM01l3XwAAcXIx.jpg,"The Pakistani army and the Sniper Arsh and the Sniper Arsh and the Kinak, the tight and the tattoos. BLP BL app and Jarkakshi Major Gohram Baloch and Goshtag that Gustin Roach Doshabbe and Sutt Evening and Hapat and Gul and Parks, the Iranian semers and cowards, Balochistan and Balochistan. https://t.co/bjvs7sziqe "
1.54e+18,1.54e+18,2022-06-14 13:41:28 Pakistan Standard Time,6/14/2022,13:41:28,500,1.53e+18,aashob_media_,Aashob Media,ur,[],[],['https://pbs.twimg.com/media/FVM0YWQWQAAPcIY.jpg'],1,4,11,[],https://twitter.com/Aashob_Media_/status/1536629884558229504,False,,1,https://pbs.twimg.com/media/FVM0YWQWQAAPcIY.jpg,"The Pakistani army and the Sniper Arsh and the Sniper Arsh and the Kinak, the tight and the tattoos. BLP BL app and Jarkakshi Major Gohram Baloch and Goshtag that Gustin Roach Doshabbe and Sutt Evening and Hapat and Gul and Parks, the Iranian semers and cowards, Balochistan and Balochistan. https://t.co/bjvs7sziqe "
1.54e+18,1.54e+18,2022-06-14 13:39:26 Pakistan Standard Time,6/14/2022,13:39:26,500,1.53e+18,aashob_media_,Aashob Media,en,[],[],['https://pbs.twimg.com/media/FVM0QsiWQAUQ201.jpg'],2,13,38,[],https://twitter.com/Aashob_Media_/status/1536629375260557312,False,,1,https://pbs.twimg.com/media/FVM0QsiWQAUQ201.jpg,"The Pakistani army and the Sniper Arsh and the Sniper Arsh and the Kinak, the tight and the tattoos. BLP BL app and Jarkakshi Major Gohram Baloch and Goshtag that Gustin Roach Doshabbe and Sutt Evening and Hapat and Gul and Parks, the Iranian semers and cowards, Balochistan and Balochistan. https://t.co/bjvs7sziqe "
1.54e+18,1.54e+18,2022-06-12 13:00:43 Pakistan Standard Time,6/12/2022,13:00:43,500,1.53e+18,aashob_media_,Aashob Media,ur,[],[],['https://pbs.twimg.com/media/FVCYHD2WUAEldLL.jpg'],0,11,33,[],https://twitter.com/Aashob_Media_/status/1535894856161271808,False,,1,https://pbs.twimg.com/media/FVCYHD2WUAEldLL.jpg,"Mobile phone tower machinery in Tamp accepts responsibility for burning, Major Graham Baloch, spokesman for BLF Balochistan Liberation Front, said that the Mobile Phone Company in Azan area of Tamp Tehsil district of Kech District ""Ufone last night at 9pm last night."" ""Machinery and other makers attacking the tower .. https://t.co/6fm59vbn7k "
